LOC,Quadrant,Business,Phone,Address,Town,Website,Category,SuperCat,DL Info,Highlight?,Shoppers Discount,Exp.
112M,,Club Pilates Oceanside,516-280-1515,3197 Long Beach Rd.,Oceanside,ClubPilates.com/Oceanside,Health and Wellness,Thrive & Be Well,"Award-winning boutique fitness studio providing reformer-based, full body Pilates workouts for everyBODY. Increase mobility, balance and strength with our group classes and private training! 80+ classes/week!",,,
113M,,J.A. Heneghan's Tavern & Restaurant,516-544-2777,57 Lido Blvd.,Point Lookout,HeneghansTavern.com,Restaurant,Eat & Drink,"A warm, friendly destination that is family orientated and serves pub standards as well as some surprising innovative dishes.",,,
114M,,All Island Hearing,631-487-0040,108 W. Park Ave.,Long Beach,AllIslandHearingNY.com,Audiological and Hearing Instrument Services,Thrive & Be Well,"Offering the best line of hearing devices, including rechargeable, smartphone compatible, invisible, and custom fit hearing aids. Services for all devices including custom fittings, battery replacement, and cleaning.",,,
115M,,Park Avenue Realty L.B.,516-442-2170,162 W. Park Ave. Suite #2,Long Beach,ParkAvenueRealty.com,Real Estate,Live & Work,"Family operated realtor in Long Beach. Focused on delivering value for our clients every step of the way. Thinking of buying, selling, or renting? Give us a call!",,,
116M,,Studio Noir,917-545-3833,1028 W. Beech St.,Long Beach,StudioNoir.Rocks,Music School,Learn & Play,"An innovative and award-winning music studio that offers; private, group, virtual and in-home lessons under the direction of Benjamin ""Benoir"" Metzger!",,,
117M,,Ananau Peruvian Cuisine,516-517-2633 / 516-208-5212,4547 Austin Blvd.,Island Park,AnanauRestaurant.com,Restaurant,Eat & Drink,"Authentic Peruvian cuisine in a welcoming atmosphere. Our expert chefs use fresh, high-quality ingredients to create delicious, flavorful dishes. Discover Peru's culinary richness.",,,
118M,,Long Beach Taxi,516-432-5200,1 W. Park Ave.,Long Beach,LongBeachTaxiNY.com,Taxi,Visit & Experience,"Serving our community for over 70 years. Conveniently located at the LIRR. Open 24/7. We offer senior rates, corporate and personal accounts.",,,
119M,,Long Beach Hotel,516-544-4444,405 E. Broadway,Long Beach,LongBeachHotelNY.com,Hotel,Visit & Experience,"Just one block from the beach, unwind at the beautifully renovated bar, the perfect spot for craft cocktails and a relaxed coastal vibe.",,,
120M,,Max Bialystok & Company,516-432-5300,159 E. Park Ave.,Long Beach,,Bagels,Eat & Drink,"Traditional hand-rolled bagels, sandwiches, wraps, salads, coffee. Boar's Head, breakfast all day, delivery to beach, catering.",Yes,Buy one dozen bagels get six free. Buy six bagels get three free. Excludes flats. Mon-Thurs. No holidays.,05/31/2026
121M,,LB Social,516-431-7846,62 W. Park Ave.,Long Beach,LBSocialNY.com,Restaurant,Eat & Drink,"A seasonal American restaurant that offers a modern interpretation to the traditional dinner party in a rustic, warm, and inviting space.",,,
122M,,LB Bistro,516-992-0014,150 E. Park Ave.,Long Beach,LBBistroNY.com,Restaurant,Eat & Drink,"Enjoy a culinary trip to France with our French inspired menu & cocktails featuring classics like Moules, Escargot, Bouillabaisse, Fondue and more!",,,
123M,,Bridgeworks,516-308-9498,670 & 780 Long Beach Blvd.,Long Beach,BridgeworksLongBeach.com,Office Space,Live & Work,"Flexible work, conference and event spaces available on demand, for an hour, day, week or month. Become a member today.",,,
124M,,The Keene Kanine,516-633-5201,811 W. Park Ave.,Long Beach,KeeneKanine.com,Dog Training,Learn & Play,Positive reward-based training solutions in your home and neighborhood. Solutions for everyday behaviors. There is always time to start training!,,,
125M,,Clearwater Beach Club,516-239-5511,1875 Ocean Blvd.,Atlantic Beach,ClearWaterBeachClub.com,Beach Club,Visit & Experience,Established for families to create and cherish lasting summer memories. A private membership club on the majestic Atlantic Ocean.,Yes,,
126M,,Dr. Nature Rx,516-632-5986,78 E. Park Ave.,Long Beach,,Health and Wellness,Shop & Discover,"Long Beach's premier CBD shop, offering high-quality CBD products and natural wellness solutions. Locally owned, community-focused, and committed to helping you feel your best. ",Yes,,
127M,,Home Appliance,516-678-1190,3050 Long Beach Rd.,Oceanside,LIHomeAppliance.com,Appliances and Home Furnishings,Shop & Discover,"Since 1987, one of Long Island's largest independent family-owned retailers. Our unparalleled customer service and expert staff make appliance shopping enjoyable and easy.",Yes,,
128M,,Kleinberg Funeral Services,516-400-5580,3930 Long Beach Rd.,Island Park,KleinbergFunerals.com,Funeral and Cremation Services,Live & Work,"Funeral and Cremation Provider Serving Long Beach and Surrounding Communities. Experts in Jewish funerals, green burials, monuments, pre-planning and travel plan.",Yes,,
129M,,Jon Dab Electrical Contractors,516-806-2311,,Long Beach,JonDabElectric.com,Electrician,Live & Work,"We provide comprehensive electrical solutions, ensuring your home is safe, functional, and energy-efficient. Lighting installation, remodeling services, and EV charging solutions.",Yes,,
130DL,,Monarch Beverage,516-432-6767,505 Long Beach Blvd.,Long Beach,IG @MonarchBeverageLBNY,Beverage,Shop & Discover,"Your source for ice, soda, water and beer.",,,
130M,,Beach Wine & More,516-208-6151,515 Long Beach Blvd.,Long Beach,IG @BeachWineLBNY,Wine & Liquor,Shop & Discover,Small wine & spirits shop with a focus on natural wine & other esoteric offerings.,,10% off any purchase over $20.,05/31/2026
131M,,Macken Mortuary,516-431-7800,3930 Long Beach Rd.,Island Park,MackenMortuary.com,Funeral Home,Live & Work,"Serving families with dignity, respect, and compassion. We help you celebrate your loved one no matter your religion, culture, or budget. Family owned & operated over 100 years.",Yes,,
132M,,New Leaf Cremation,855-770-3777,3930 Long Beach Rd.,Island Park,NewLeafCremation.com,Cremation and Memorials,Live & Work,"Experienced, local, affordable. Island Park's premier cremation & memorial services.",Yes,,
133M,,Cold Stone Creamery,516-283-0043,85 E. Park Ave.,Long Beach,ColdStoneCreamery.com/stores/24127,Ice Cream,Eat & Drink,"For more than 30 years, we are serving up the finest & freshest in house made ice cream, cakes, cookies, smoothies and shakes. Stop by today.",,,
134M,,Long Beach Cleanup,,,Long Beach,LBCleanup.com,Community Organization,Gather & Connect,Through weekly beach cleanup events we empower individuals of all ages to take action for the environment.,,,
135M,,Long Beach Farmers Market,,PO Box 1241,Long Beach,LongBeachFarmersMarket.com,Community Organization,Gather & Connect,"Preserving open space and assisting local farmers, fishers, and food producers by providing direct access to homegrown, fresh and nutritious foods.",,,
136M,,Atlantic Beach Tennis and Pickleball Center,516-239-2011,60 The Plaza,Atlantic Beach,AtlanticBeachTennisAndPickleballCenter.com,Tennis and Pickleball,Learn & Play,Atlantic Beach's premier tennis & pickleball hub. Elevate your game! Book your court time on our website.,,,
137M,,Boardwalk Bagel & Delicatessen,516-239-3900,105 Putnam Blvd.,Atlantic Beach,BoardWalkBagel.com/AtlanticBeach,Bagels and Delicatessen,Eat & Drink,"Friendly greetings, quick service, and great food! Experience our casual and generously made yummy sandwiches, bagels, and salads.",,,
138M,,The Boland Group at AFN,516-660-0702,,Long Beach,JB-Mortgage.com,Mortgage,Live & Work,Originating mortgages for over 17 years. Whether buying a new home or refinancing your current mortgage give John a call today!,,,
139M,,Royal Vent Cleaning,516-986-8368,,Long Beach,RoyalVentCleaning.com,Vent Cleaning,Live & Work,"Dryer vent cleaning, ductless splits, HVAC duct cleaning and bath exhaust vents, dryer vent line replacement. Protect your family, pets and your home!",,,
140DL,,Softwave Long Island,516-455-5638,714 E. Park Ave.,Long Beach,SoftwaveLongIsland.com,Health and Wellness,Thrive & Be Well,"Offering non-invasive, FDA-cleared pain relief and tissue healing using advanced shockwave technology. Experience lasting results without surgery or drugs. Visit our website today!",,,
140M,,East Park Chiropractic & Wellness,516-431-7972,714 E. Park Ave.,Long Beach,EastParkChiropractic.com,Health and Wellness,Thrive & Be Well,"Traditional and non-forced chiropractic for preventive care, pain, and injuries. Automobile accident, work-related, sports injury, massage therapy, homeopathic pain management, and nutritional consultation.",Yes,,
141M,,Sunny Atlantic Beach Club,516-239-9090,2035 Ocean Blvd.,Atlantic Beach,SunnyAtlantic.com,Beach Club,Visit & Experience,"Long Island’s place to be! A private beach club where family, friends, and fun in the sun come together all summer long.",Yes,,
142M,,The Shores at Atlantic Beach,516-812-9411,1845 Ocean Blvd.,Atlantic Beach,TheShoresAB.com,Beach Club,Visit & Experience,"Established in 2012, The Shores is a boutique private beach club in Atlantic Beach where everyone comes with a smile & leaves with a smile!",Yes,,
143M,,The Buoy Bar,516-432-3975,72 Bayside Dr.,Point Lookout,BuoyBarLI.com,Restaurant,Eat & Drink,Family owned & operated full service waterfront restaurant and bar. Scotty's gas dock and tackle shop has been serving the South shore communities since 1929.,Yes,,
144M,,Riptides,516-600-9011,1 Edwards Blvd.,Long Beach,,Restaurant,Eat & Drink,Family friendly restaurant known for our famous Riptides fries. Best views and best bites on the boardwalk!,,,
145M,,Long Beach Latino Civic Association,516-988-0039,670 Long Beach Blvd.,Long Beach,LBLatinoCivic.org,Community Organization,Gather & Connect,"Empowering and advocating for communities and individuals to help them achieve self-reliance. Focused on civic participation, economic education, youth development, cultural awareness, and environmental justice.",,,
146M,,Lilly’s of Long Beach,516-442-5484,954 W. Beech St.,Long Beach,LillysOfLongBeach.com,Restaurant and Bar,Eat & Drink,"Irish & American pub fare in a relaxed setting with outdoor dining, sports on TV & live music.",,,
147M,,Super Pollo,516-208-8966,18 E. Park Ave.,Long Beach,SuperPolloLI.com,Restaurant,Eat & Drink,"Peruvian restaurant known for outstanding rotisserie chicken and green sauce, rice, and beans. Our chef has 20 years experience cooking in the finest restaurants.",,,
148M,,Salon On Park,516-431-2959,174 W. Park Ave.,Long Beach,SalonOnParkLB.com,Hair Salon,Thrive & Be Well,"Specializing in enhancing the inner and outer beauty of our clients through: service excellence, constant innovation, and continuous education.",,,
149M,,Key Food Marketplace,516-431-5515,663 E. Park Ave.,Long Beach,KeyFoodLongBeach.com,Supermarket,Shop & Discover,Free delivery 7 days a week. Shop our online store 7 days a week.,,,
150M,,Beach Baseball Camp & Clinics,516-548-1001,,"Serving our Barrier Island, Island Park, and more!",BeachBaseballCamp.com,Camp,Learn & Play,"Experienced coaches instruct young athletes to reach their full potential in hitting, pitching, fielding, and running. Scrimmages and games played during two one-week summer baseball and softball camps.",Yes,,
151M,,Oishi Omakase,516-208-8002,116 E. Park Ave.,Long Beach,OishiLBNY.com,Restaurant,Eat & Drink,"Indulge in our extraordinary Omakase, carefully crafted to elevate your dining experience. Savor an endless selection of fresh, hand-prepared sushi.",,,
152M,,Himawari Seasons Asian Pan,516-442-3111,36 W. Park Ave.,Long Beach,SeasonsAsianPanNY.com,Restaurant,Eat & Drink,"The best pan-Asian restaurant in town! Serving healthy, fresh ingredients with a passion for creating unique flavors. Open 7 days. Private room available. We deliver!",,,
153M,,Bad Boy Burrito,516-208-6500,10 W. Park Ave.,Long Beach,BadBoyBurritoLBNY.com,Restaurant,Eat & Drink,Mexican-Style Burrito Joint and Taqueria with a unique menu that focuses on the traditions of Mexican cuisine combined with modern American twists.,,,
154DL,,Anabel's Braiding Boutique,516-450-8229,23A Bellmore Ave.,Point Lookout,linktr.ee/BraidsByAnabel,Hair Salon,Thrive & Be Well,Specializing in braiding and creative color. DM or call to book an appointment! House calls available upon request. ,,,
154M,,Highlights on Point,516-789-9990,23A Bellmore Ave.,Point Lookout,Google us,Hair Salon,Thrive & Be Well,Knowledge and expertise to provide you with the best service possible. Consultations are the foundation to our success.,,,
155M,,Nagoya,516-897-0077,236 W. Park Ave.,Long Beach,NagoyaLongBeach.com,Restaurant,Eat & Drink,Delicious Japanese cuisine. Our specialty dishes have been well-crafted to create a delightful culinary experience. Enjoy the convenience of pickup or delivery.,,,
156M,,beginnings,516-239-7483,1986 Park St.,Atlantic Beach,BeginningsRestaurant.com,Restaurant,Eat & Drink,"Beginnings Restaurant in Atlantic Beach, NY is a cozy spot where great food, crafted cocktails drinks, and bookish vibes come together for a memorable experience .",,,
157M,,Balanced Health & Wellness,516-689-7580,917 W. Beech St.,Long Beach,BalancedHealthLB.com,Health & Wellness,Thrive & Be Well,"Experience personalized care—tailored treatments, expert guidance, and compassionate support to enhance your well-being and help you feel your absolute best.",,,
158M,,Contour Mortgage - Tom Marchioli,516-233-8319,990 Stewart Ave. Suite 660,Garden City,ContourMortgage.com,Home Financing,Live & Work,"A local, multi-state, full-service mortgage lender serving consumers with their home purchase, refinance, and renovation financing needs.",,,
159M,,The Space by Evolve,,852 W. Beech St.,Long Beach,TheSpaceByEvolve.com,Health and Wellness,Thrive & Be Well,Airy and light filled place for creatives to share their gifts and for the community to enjoy them. It was created as a vision that wanted to be birthed into the world.,,,
160M,,Super Hawk,516-607-3004,,Point Lookout,SuperhawkFishing.com,Fishing Charter,Visit & Experience,Daily public fishing and private party boat. Voted Long Island's #1 family-friendly fishing experience! Great for beginners.,,,
161M,,Metro Physical Therapy & Aquatics By The Sea,516-568-7858,670 Long Beach Blvd.,Long Beach,PhysicalTherapyAndAquatics.com,Physical Therapy,Thrive & Be Well,Providing the very best physical therapy care to Long Beach and the surrounding area since 2005. All insurance accepted.,,,
162M,,Beach Comfort,516-432-5001,On the Beach at Edwards Blvd.,Long Beach,BeachComfort.net,Beach Rental,Visit & Experience,"Enjoy the sun with Beach Comfort — Long Beach’s full-service beach chair and umbrella rental, offering resort-style amenities right on the beach!",,,
163M,,Earth Arts Pottery Studio,516-432-9000,162 W. Park Ave.,Long Beach,EarthArtsLB.com,Pottery,Learn & Play,"Offering walk-ins, classes, workshops, events, and memberships—a place for community to connect, be inspired, and make something beautiful.",,,
164M,,Pilates by the Sea,518-928-4168,40C Lido Blvd.,Point Lookout,PilatesByTheSeaLB.com,Pilates,Thrive & Be Well,"Boutique Pilates studio specializing in small group classes using the Reformer, Tower & Wunda Chair + private sessions for all levels. Class schedule and bookings on our website.",,,
165M,,Reynolds & Vine,516-544-4749,70 Lido Blvd.,Point Lookout,ReynoldsAndVine.com,Restaurant,Eat & Drink,"Offering a fusion of New American cuisine, classic cocktails and genuine hospitality. Plan your next celebration with us! Creating memorable experiences for any occasion.",,,
166M,,Jimbo's Beach Rentals,516-427-0548,64 W. Park Ave.,Long Beach,JimbosBeachRentals.com,Beach Rentals,Visit & experience,"All your beach gear: surfboards, boogie-boards, beach chairs, umbrellas, wagons, towels, volleyballs, footballs, kadima paddles, soccer balls , Wiffle Balls, beach toys, kites, shirts, hats, sunglasses, sunscreen.",,,
167M,,The Cabana,516-889-1345,1034 W. Beech St.,Long Beach,TheCabanaLBNY.com,Restaurant,Eat & Drink,"The Cabana is the West End's only Mexican American cuisine. Dine indoors or outdoors, free parking and delivery. Open 7 days during summer.",,,
168M,,Playa De Perros,,,Long Beach,PlayaDePerros.com,Dog Walking & Pet Sitting,Live & Work,"Offering trusted, professional care with easy booking and communication—dedicated sitters your pets love and you can count on.",,,
169M,,Point Lookout Clam Bar,516-670-9717,99 and 111 Bayside Dr.,Point Lookout,PointLookoutClamBar.com,Restaurant,Eat & Drink,"Waterfront, beachfront dining. Local, fresh fish, sushi, live music. We never close - open year round.",,,
170M,,The Junkluggers of Long Island,516-202-8761,12A Commercial St.,Hicksville,JunkLuggers.com,Cleanouts / Junk Removal,Live & Work,Your local eco-friendly junk removal company that can help you remove a single item to clearing out a home or business!,,,
171M,,Fallon Demo & Rubbish Removal Service,516-322-6090,,Long Beach,,Construction,Live & Work,Long Beach’s only full service demolition / rubbish removal and restoration contractor. Specializing in fire/water and mold remediation.,,,
172M,,Douglas Elliman - Joyce Coletti,516-763-6150,30A W. Park Ave.,Long Beach,,Real Estate,Live & Work,"Through her unsurpassed professionalism, integrity and utmost competence Joyce Coletti offers the highest level of expertise and outstanding representation to her valued clients.",Yes,,
173M,,DOX Bar & Kitchen,516-992-2222,10 Broadway,Island Park,DoxBarAndKitchen.com,Restaurant,Eat & Drink,"Your all-season spot for live music and stunning waterside views! Dine, drink, and soak in the vibes at our restaurant & bar, open year-round.",Yes,$10 off your purchase of $50 or more. Weekdays only.,05/31/2026
174M,,Marvel Frozen Dairy,516-240-1159,1 National Blvd.,Long Beach,MarvelFrozenDairy.com,Ice Cream,Eat & Drink,"Established 1951, Marvel has now expanded its menu to include cakes, slushies, shakes, and a wide assortment of soft serve flavors & toppings: including vegan & sugar-free options.",,,
175M,,Long Beach NY Memes,,,Long Beach,IG @longbeachnymemes,News and Events,Gather & Connect,"Long Beach's largest online community! Daily memes, news, events, and much more for our City by the Sea.",,,
176DL,,Professional Youth Theatre,516-992-0766,75 E. Walnut St.,Long Beach,ProfessionalYouthTheatre.com,Children & Youth,Learn & Play,Offering elite musical theatre training to aspiring young actors from ages 4 to 18. Students work exclusively with experienced Broadway professionals.,,,
176M,,The Dance Loft,516-889-7837,160 W. Park Ave.,Long Beach,DanceLoftLB.com,Dance Studio,Learn & Play,A leader in dance education on Long Island since 1984 and features faculty from the professional dance world.,,,
177M,,Barrier Beets,,190 Boardwalk,Long Beach,BarrierBeets.com,Restaurants,Eat & Drink,"Barrier Beets brings convenience to clean eating, with an emphasis on fresh ingredients and dynamic flavors to fuel your lifestyle. Come visit us on the boardwalk!",,,
178M,,TriView Reflections,516-338-4170,855 E. Broadway,Long Beach,TriViewShowerDoor.com,Glass,Live & Work,"The complete shower door, glass, & mirror company. We install to perfection, with spotless cleanup and friendly, courteous service. Fully licensed and insured, we always guarantee our work. Let us reflect your good taste!",,,
182M,,Recast Industries,631-867-2686,,Long Beach,RecastNY.com,Construction,Live & Work,"Recast Industries delivers captivating, trouble-free renovation experiences and reliable maintenance, guided by transparent communication, rock-solid safety, and elite quality assurance. Veteran owned.",,,
183M,,The Snack Shack @One Pacific,,1 Pacific Blvd.,Long Beach,OPLBNY.com,Restaurant,Eat & Drink,"Enjoy a lobster roll by the ocean! Dine in, takeout, and delivery.",,,
184M,,Driftwood,,1 Grand Blvd.,Long Beach,DriftwoodLBNY.com,Restaurant,Eat & Drink,"LB Boardwalk Eatery: Breakfast, Waffles, Smoothies, Lobster Rolls, Burgers, Chicken Sandwiches",,,
185M,,Lazar Glizzy,,1 Lincoln Blvd.,Long Beach,LazarGlizzy.com,Restaurant,Eat & Drink,"Hot dogs, smoothies, hand spun shakes, soups, salads, cold drinks, and coffee.",,,
186M,,Skudin Surf,516-318-3993,1 Riverside Blvd.,Long Beach,SkudinSurf.com,Surf School,Learn & Play,"Skudin Surf's curriculum, created by legendary East Coast surfers, promises to connect each learner with the ocean in a way they never have before.",,,
187M,,Skudin Swim,516-978-7946,265 E. Park Ave.,Long Beach,SkudinSwim.com,Swim School,Learn & Play,"Family business built around safety and competency in the water.  We offer swim lessons, water safety, lifeguarding and Red Cross courses to our community.",,,
